video_id,video_url,titre,chaine,publie_le,categorie_id,description,nb_vues,nb_likes,nb_commentaires,duree_iso,duree_secondes,langue,thematique
GoTWmEFdqdU,https://www.youtube.com/watch?v=GoTWmEFdqdU,Comment trouver des idées en dissertation : les 3 solutions,1000 idées de culture générale,2020-11-14T10:53:24Z,27,"➜ Cours gratuit de méthodologie de la dissertation : https://www.1000idcg.com/dissert
➜ Résumés des 100 meilleurs livres de la pensée : https://www.1000idcg.com/top100
➜ Formation avancée de méthodologie de la dissertation : https://www.1000idcg.com/mt
➜ Programme de culture générale « Culture Expre",273649,7054,200,PT9M42S,582,fr,svt_sciences
qveQB_yxFik,https://www.youtube.com/watch?v=qveQB_yxFik,Cours - Terminale L2 - SVT : La méiose / Mme Cisse,Ecoles Au Senegal,2021-04-05T09:00:29Z,27,"Le principe d’Ecoles au Sénégal est simple : offrir des cours sur le web en forma vidéo du système éducatif gratuitement aux élèves et autres internautes désireux apprendre. Cette démarche, qui étonne par son altruisme, semble aussi évidente que nécessaire.",64276,973,48,PT13M40S,820,fr,svt_sciences
deFGgFJ6NBc,https://www.youtube.com/watch?v=deFGgFJ6NBc,"La Synapse : Mécanisme, Types et Rôle dans la Communication Nerveuse | Cours Complet Terminale",Savoir+ Sénégal,2025-10-29T21:01:02Z,27,"L13, L14 .... 👇 https://demedev25.github.io/Svt-S-n-gal/
 
Découvrez dans cette vidéo une explication claire, structurée et complète de la synapse, élément fondamental de la communication nerveuse.
Idéal pour élèves de Terminale S / S2, étudiants en médecine, enseignants ou passionnés de neuroscienc",6678,179,5,PT18M50S,1130,fr,svt_sciences
2-FYSRaHNDo,https://www.youtube.com/watch?v=2-FYSRaHNDo,Glycémie et diabètes - Spé SVT - Terminale - Les Bons Profs,Les Bons Profs,2015-03-06T11:03:23Z,27,Un vidéo de rappel sur le diabètes avec les différences à connaître entre diabète de type 1 et diabète de type 2.,223780,2262,55,PT4M34S,274,fr,svt_sciences
UuIGZn3rJLc,https://www.youtube.com/watch?v=UuIGZn3rJLc,IP-SC SVTEEHB Tle D Leçon 16 Monohybridisme avec dominance,ENSEIGNEMENT A DISTANCE MINESEC,2021-10-18T11:43:39Z,27,SVTEEHB Tle D Leçon 16 Monohybridisme avec dominance. https://minesec-distancelearning.cm/,8437,76,6,PT34M41S,2081,fr,svt_sciences
gG4Acdt_otQ,https://www.youtube.com/watch?v=gG4Acdt_otQ,SVT#Fonctionnement du tissus nerveux#1è Partie#structure Nerveuse//Tle S,Le savant ACHI,2023-08-26T04:00:45Z,22,,159675,3147,178,PT49M21S,2961,fr,svt_sciences
UtojM1pTb1Q,https://www.youtube.com/watch?v=UtojM1pTb1Q,IP-SC SVTEEHB Tle D Leçon 11 Méiose,ENSEIGNEMENT A DISTANCE MINESEC,2021-09-23T12:21:48Z,27,SVTEEHB Tle D Leçon 11 Méiose. https://minesec-distancelearning.cm/,5379,56,5,PT34M22S,2062,fr,svt_sciences
WMCpW-cpL9k,https://www.youtube.com/watch?v=WMCpW-cpL9k,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.9: LA PLANTE PRODUCTRICE DE MATIÈRE ORGANIQUE - Bio Logique-,Bio Logique,2020-09-13T09:30:01Z,27,,555164,13239,237,PT14M41S,881,fr,svt_sciences
r0r0sH0DCp4,https://www.youtube.com/watch?v=r0r0sH0DCp4,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.14: LES RÉFLEXES - Bio Logique-,Bio Logique,2020-09-06T22:35:28Z,27,,770260,20319,434,PT15M19S,919,fr,svt_sciences
iJbxvssn-tE,https://www.youtube.com/watch?v=iJbxvssn-tE,Les fermentations - Spé SVT - Terminale - Les Bons Profs,Les Bons Profs,2014-11-05T15:40:26Z,27,Comprendre la fermentation des cellules : fermentation alcoolique et fermentation lactique.,230726,1903,60,PT7M3S,423,fr,svt_sciences
abZuQiVbs4s,https://www.youtube.com/watch?v=abZuQiVbs4s,Cours - Terminale L2 - SVT : La Régulation de la glycémie / Suite et Fin/ Mme Cisse,Ecoles Au Senegal,2021-03-29T17:48:51Z,27,"Le principe d’Ecoles au Sénégal est simple : offrir des cours sur le web en forma vidéo du système éducatif gratuitement aux élèves et autres internautes désireux apprendre. Cette démarche, qui étonne par son altruisme, semble aussi évidente que nécessaire.",60729,993,43,PT12M49S,769,fr,svt_sciences
k_XKYeUSDnQ,https://www.youtube.com/watch?v=k_XKYeUSDnQ,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.8: L'ORGANISATION FONCTIONNELLE DES PLANTES À FLEURS,Bio Logique,2020-07-25T16:00:13Z,27,,699015,17661,334,PT16M31S,991,fr,svt_sciences
EEKuite4gBU,https://www.youtube.com/watch?v=EEKuite4gBU,Cours - Terminale S - SVT: La transmission synaptique et l'intégration nerveuse / M. Gnasse,Ecoles Au Senegal,2020-12-03T14:31:16Z,27,"Le principe d’Ecoles au Sénégal est simple : offrir des cours sur le web en forma vidéo du système éducatif gratuitement aux élèves et autres internautes désireux apprendre. Cette démarche, qui étonne par son altruisme, semble aussi évidente que nécessaire.",92958,1395,46,PT6M16S,376,fr,svt_sciences
GkMwjlLMz9k,https://www.youtube.com/watch?v=GkMwjlLMz9k,"COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.16: LA CELLULE MUSCULAIRE, UNE STRUCTURE SPÉCIALISÉE",Bio Logique,2020-09-26T10:00:04Z,27,,547718,13377,250,PT15M55S,955,fr,svt_sciences
LFdG0xL1hp0,https://www.youtube.com/watch?v=LFdG0xL1hp0,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.6: LE TEMPS ET LES ROCHES -Bio Logique-,Bio Logique,2020-07-18T16:00:05Z,27,,660048,15667,394,PT23M19S,1399,fr,svt_sciences
gX-0RKTvFdc,https://www.youtube.com/watch?v=gX-0RKTvFdc,"COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.15: CERVEAU, MOUVEMENT VOLONTAIRE ET ACTION DE SUBSTANCES",Bio Logique,2020-09-19T10:31:18Z,27,,592027,14886,297,PT16M33S,993,fr,svt_sciences
Gxy8eKBDbFs,https://www.youtube.com/watch?v=Gxy8eKBDbFs,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.7: LES TRACES DU PASSÉ MOUVEMENT DE LA TERRE - Bio Logique-,Bio Logique,2020-08-29T16:00:09Z,27,,343297,7565,264,PT16M37S,997,fr,svt_sciences
1KairCXBOYM,https://www.youtube.com/watch?v=1KairCXBOYM,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.17: ATP et CONTRACTION MUSCULAIRE,Bio Logique,2020-10-03T10:00:01Z,27,,667826,15014,369,PT19M21S,1161,fr,svt_sciences
4Iq02EzzV4U,https://www.youtube.com/watch?v=4Iq02EzzV4U,Le Reflexe Myotatique - SVT- Terminale,L'Antiseche,2018-02-07T16:00:00Z,27,"Sujet : Le réflexe myotatique. 
Est-ce que c'est pas un peu ouf que le fait de percuter légèrement un tendon avec un marteau provoque une contraction musculaire sans la volonté du sujet ? On peut en déduire que certains mouvements ne sont pas volontaires : on parle alors de réflexe myotatique. 
Que ",267189,9459,197,PT3M51S,231,fr,svt_sciences
9DTIsBn7IIg,https://www.youtube.com/watch?v=9DTIsBn7IIg,COURS DE TERMINALE SPÉCIALITÉ SVT CHAP.18: LE CONTRÔLE DES FLUX DE GLUCOSE -Bio Logique-,Bio Logique,2020-10-12T03:51:13Z,27,,404502,10417,213,PT17M59S,1079,fr,svt_sciences
-QNriCSFP78,https://www.youtube.com/watch?v=-QNriCSFP78,Cours de S V T - Comprendre la cartographie. Niveau Terminale D,EàDTV CONGO,2024-04-26T15:49:06Z,27,"EàDTV CONGO : La 1ère chaîne éducative du Congo, le premier fournisseur des cours de l'école à domicile, la principale source d'information officielle du Ministère de l'Enseignement Préscolaire, Primaire, Secondaire et de l'Alphabétisation. 
🔴 Regardez EàDTV CONGO en Direct 24h/24 Gratuitement sur T",13458,310,20,PT50M19S,3019,fr,svt_sciences
r-enWz5wNuE,https://www.youtube.com/watch?v=r-enWz5wNuE,"Baccalauréat 2025 : premier du Bénin avec 18,66/20, Ford Germain Tohouénou livre ses secrets",BENIN TV,2025-07-29T19:47:56Z,25,"À 17 ans, Ford Kossi Germain Tohouénou s’est hissé à la tête des meilleurs bacheliers de l’année 2025 au Bénin avec une moyenne de 18,66/20.",20229,139,10,PT2M30S,150,fr,svt_sciences
IFaNfBp3N-4,https://www.youtube.com/watch?v=IFaNfBp3N-4,Bac de SVT : nos conseils de dernière minute - Les Bons Profs,Les Bons Profs,2019-06-13T06:00:01Z,27,"Le BAC de SVT, c'est presque dans une semaine ! Voici les conseils de Stéphanie pour être prêt le jour J.

Lien vers les résultats du bac : https://bit.ly/2Ii6V3I

Tu aimes nos vidéos, dis-nous ce que tu en penses et aide d’autres élèves à nous trouver ! https://fr.trustpilot.com/review/lesbonsprofs",88599,2734,183,PT4M58S,298,fr,svt_sciences
fgvS63f5dgM,https://www.youtube.com/watch?v=fgvS63f5dgM,IP-LAL Français (Langue) Tle Révisions 1 Langue française baccalaureat: Rappels,ENSEIGNEMENT A DISTANCE MINESEC,2021-03-31T17:58:15Z,22,Français (Langue) Tle Révisions 1 Langue française baccalaureat: Rappels,23025,459,40,PT1H35M59S,5759,fr,svt_sciences
GLmn3HILBAU,https://www.youtube.com/watch?v=GLmn3HILBAU,Genetics Part 1; Biology Form 4 Revision,KCSE BIOLOGY,2025-08-25T15:35:02Z,27,"Contact me in Telegram Using the Link;
https://t.me/kcsebio   (Begin With Word '#') Otherwise may be ignored.
.
For more Revision and Past Papers, you may join my Telegram Channels for Biology and Chemistry using the following links;
.
Telegram Biology;
t.me/KCSEBiology

Telegram Chemistry;
t.me/KCS",34073,598,69,PT1H8M35S,4115,en,svt_sciences
fi84SHchifk,https://www.youtube.com/watch?v=fi84SHchifk,"KCSE - BIOLOGY FORM 4- RECEPTION,RESPONSE & CO-ORDINATION IN ANIMALS",MANIFESTED PUBLISHERS,2020-06-30T13:58:13Z,22,"🧠 Reception, Response & Coordination in Animals – Form 4 KCSE Biology

In this lesson, learners will explore how animals perceive stimuli, respond to changes in their environment, and coordinate body functions. This topic is essential for KCSE Biology exams and helps students understand nervous and ",114796,1136,85,PT15M57S,957,en,svt_sciences
uZJT5eMT1Sk,https://www.youtube.com/watch?v=uZJT5eMT1Sk,FORM 4 KCSE BIOLOGY-GENETICS,MANIFESTED PUBLISHERS,2020-08-08T10:18:23Z,22,"🧬 Genetics – Form 4 KCSE Biology

In this lesson, learners will explore the principles of inheritance, variation, and DNA structure, which form the foundation of genetics. Understanding genetics is essential for KCSE Biology exams and provides insight into evolution, health, and biotechnology.

💡 Ke",94279,857,42,PT13M57S,837,en,svt_sciences
Ox43ah1G13Q,https://www.youtube.com/watch?v=Ox43ah1G13Q,GENETICS_Introduction_L1,MANIFESTED PUBLISHERS,2023-12-13T10:27:45Z,22,"🧬 BIOLOGY FORM 3 – GENETICS
Lesson 1: Introduction to Genetics
🎯 Lesson Objectives

By the end of this lesson, you should be able to:

Define genetics and related terms.

Explain the importance of genetics in living organisms.

Identify key contributors to the study of genetics.

Describe the basic ",39635,660,40,PT17M58S,1078,en,svt_sciences
d2-NIq820G4,https://www.youtube.com/watch?v=d2-NIq820G4,"KCSE -  BIOLOGY FORM 4  - RECEPTION,RESPONSE & CO-ORDINATION IN PLANTS",MANIFESTED PUBLISHERS,2020-06-30T13:54:21Z,22,"🌱 Reception, Response & Coordination in Plants – Form 4 KCSE Biology

In this lesson, learners will explore how plants perceive stimuli, respond to environmental changes, and coordinate growth and development. This topic is essential for KCSE Biology exams and helps students understand plant physiol",57091,510,42,PT15M20S,920,en,svt_sciences
